App;Rating;Reviews;Size;Installs;Price;Content Rating;Genres
Wolf of the BF:Commando MOBILE;3,4;32;27;1000;0,99;Everyone 10+;Arcade
Chinese Chess 3D Online (Xiangqi, и±ЎжЈ‹, co tuong);3,5;23;37;1000;0,99;Everyone;Board
Assassin's Creed Identity;3,7;42529;92;500000;1,99;Teen;Action
Sonic 4в„ў Episode I;3,7;8014;37;100000;2,99;Everyone;Arcade
Ghosts'n Goblins MOBILE;3,8;466;28;10000;0,99;Everyone;Arcade
Dirt Trackin Sprint Cars;3,8;499;47;10000;3,99;Everyone;Racing
Trine 2: Complete Story;3,8;252;11;10000;16,99;Teen;Action
B-Grade Renegade;3,9;24;64;1000;1,99;Teen;Action
Ghouls'n Ghosts MOBILE;3,9;168;49;5000;1,99;Everyone 10+;Arcade
Poker Equity Calculator Pro for No Limit Hold'em;4;21;14;5000;0,99;Everyone;Card
MEGA MAN MOBILE;4;267;40;10000;1,99;Everyone;Action
WIZARD Card Game;4;48;4,1;1000;1,99;Everyone;Card
I am Bread;4;630;20;10000;4,99;Everyone;Adventure
Jump'N'Shoot Attack;4,1;155;32;1000;2,49;Everyone;Arcade
Adventure Time Game Wizard;4,1;4107;40;50000;4,99;Everyone;Adventure
Don't Starve: Shipwrecked;4,1;1468;4,9;10000;4,99;Teen;Adventure
Mental Hospital V;4,2;2460;25;50000;0,99;Mature 17+;Action
Mupen64Plus AE (N64 Emulator);4,2;4569;12;100000;0,99;Everyone;Arcade
Ludo - Don't get angry;4,2;131;23;1000;1,61;Everyone;Board
Call of Duty:Black Ops Zombies;4,2;13004;46;100000;6,99;Teen;Action
B-52 Spirits of Glory Deluxe;4,3;12;29;100;0,99;Everyone;Arcade
E.G. Chess;4,3;56;23;1000;0,99;Everyone;Board
Fruit Ninja Classic;4,3;85468;36;1000000;0,99;Everyone;Arcade
Zombie Avengers:(Dreamsky)Stickman War Z;4,3;13604;96;1000000;0,99;Teen;Action
R-TYPE II;4,3;5682;37;50000;1,99;Everyone;Arcade
League of Stickman 2018- Ninja Arena PVP(Dreamsky);4,4;32496;99;1000000;0,99;Teen;Action
Stickman Legends: Shadow Wars;4,4;38419;100;1000000;0,99;Everyone 10+;Action
AJ Jump: Animal Jam Kangaroos!;4,4;2975;42;50000;1,99;Everyone;Arcade
Skip-Boв„ў;4,4;33661;60;100000;2,99;Everyone;Card
The Game of Life;4,4;18621;63;100000;2,99;Everyone;Board
Superbrothers Sword & Sworcery;4,4;11023;16;100000;3,99;Teen;Adventure
BJ Bridge Pro 2018;4,4;17;4,8;500;4,49;Everyone;Card
The Escapists;4,4;7412;84;100000;4,99;Teen;Strategy
Grand Theft Auto: San Andreas;4,4;348962;26;1000000;6,99;Mature 17+;Action
Backgammon NJ for Android;4,4;1644;15;10000;7,99;Everyone;Board
Lost Journey (Dreamsky);4,5;32344;29;1000000;0,99;Everyone;Adventure
Nightenfell: Shared AR;4,5;20;65;1000;0,99;Everyone 10+;Action
Galaxian(FC);4,5;2;7,8;100;1,99;Everyone;Arcade
R-TYPE;4,5;7687;23;100000;1,99;Everyone;Arcade
Five Nights at Freddy's: SL;4,5;16162;99;100000;2,99;Teen;Action
ONScripter Plus (Ad Free);4,5;100;17;1000;3,99;Everyone;Adventure
Farming Simulator 18;4,5;18125;15;100000;4,99;Everyone;"Simulation;Education"
PAC-MAN CE DX;4,5;1692;36;10000;4,99;Everyone;Arcade
Shadow Fight 2 Special Edition;4,5;10440;86;50000;4,99;Teen;Action
Traps n' Gemstones;4,5;413;9,1;1000;4,99;Everyone;Adventure
Star Wars в„ў: DIRTY;4,5;38207;15;100000;9,99;Teen;Role Playing
Hitman Sniper;4,6;408292;29;10000000;0,99;Mature 17+;Action
Lock 'n' Roll Pro - Ad Free;4,6;169;13;1000;0,99;Everyone;Card
Clue;4,6;19922;35;100000;1,99;Everyone 10+;Board
Five Nights at Freddy's;4,6;100805;50;1000000;2,99;Teen;Action
Five Nights at Freddy's 4;4,6;21266;45;100000;2,99;Teen;Action
Dr. Splorchy Presents Space Heroes;4,6;18;31;100;4,99;Mature 17+;Adventure
DraStic DS Emulator;4,6;87766;12;1000000;4,99;Everyone;Action
Monument Valley 2;4,6;9394;33;100000;4,99;Everyone;Puzzle
Oddworld: New 'n' Tasty;4,6;1475;34;10000;4,99;Teen;Action
RollerCoaster TycoonВ® Classic;4,6;10795;69;100000;5,99;Everyone;Simulation
Blackjack Verite Drills;4,6;17;4,7;100;14;Teen;Casino
The World Ends With You;4,6;4108;13;10000;17,99;Everyone 10+;Arcade
An Elite Warrior Ex;4,7;15;93;100;0,99;Everyone;Adventure
Cytus II;4,7;16851;81;100000;1,99;Everyone 10+;Music
Five Nights at Freddy's 3;4,7;27856;50;100000;2,99;Teen;Action
Retro City Rampage DX;4,7;416;16;10000;2,99;Teen;Action
BW-Go;4,8;265;1,3;1000;3,49;Everyone;Board
The Room: Old Sins;4,9;21119;48;100000;4,99;Everyone;Puzzle
211:CK;5;8;38;10;0,99;Teen;Arcade
Mu.F.O.;5;2;16;1;0,99;Everyone;Arcade
Ra Ga Ba;5;2;20;1;1,49;Everyone;Arcade
Santa's Monster Shootout DX;5;4;33;50;1,99;Teen;Action
